751312.406925822;	cycle,it,executionDll, simulationDll, executionTrainLl, simulationTrainLl,realTrainLl, executionValidLl, realValidLl, executionTestLl, realTestLl
751595.794693207;	0.0,70.0,52.00347786198004,52.00347786198004,-52912.41397583542,-52912.41397583542,-52912.41397583542,-10619.04353572039,-10619.04353572039,0.0,0.0
751603.8461249861;	0.0,71.0,63.28193077644204,63.28193077644204,-52849.132045058985,-52849.132045058985,-52849.132045058985,-10603.501149487442,-10603.501149487442,0.0,0.0
751623.9898755271;	0.0,72.0,105.24954146967907,105.24954146967907,-52743.88250358931,-52743.88250358931,-52743.88250358931,-10586.988703751993,-10586.988703751993,0.0,0.0
751628.2575980551;	0.0,73.0,5.233751711347246,5.233751711348155,-52738.64875187796,-52738.64875187796,-52738.64875187796,-10585.131299792394,-10585.131299792394,0.0,0.0
751651.2702563191;	0.0,74.0,50.57979209567401,50.579792095674,-52688.068959782315,-52688.068959782315,-52688.068959782315,-10581.44881726397,-10581.44881726397,0.0,0.0
751658.981687068;	0.0,75.0,18.344192724093197,18.344192724093197,-52669.72476705822,-52669.72476705822,-52669.72476705822,-10577.97702632972,-10577.97702632972,0.0,0.0
751665.396567397;	0.0,76.0,11.753732194870565,11.753732194870565,-52657.971034863345,-52657.971034863345,-52657.971034863345,-10575.502538055573,-10575.502538055573,0.0,0.0
751667.705020606;	0.0,77.0,73.10367403787106,73.10367403787197,-52584.86736082549,-52584.86736082549,-52584.86736082549,-10562.05707156965,-10562.05707156965,0.0,0.0
751700.145442239;	0.0,78.0,46.20858520158555,46.20858520158649,-52538.65877562389,-52538.65877562389,-52538.65877562389,-10543.480416246593,-10543.480416246593,0.0,0.0
751734.313283658;	0.0,79.0,48.259531561359324,48.259531561359324,-52490.39924406253,-52490.39924406253,-52490.39924406253,-10523.007447236885,-10523.007447236885,0.0,0.0
751739.8575911641;	0.0,80.0,8.424887354703372,8.424887354704282,-52481.97435670781,-52481.97435670781,-52481.97435670781,-10521.066160744775,-10521.066160744775,0.0,0.0
751772.9332560421;	0.0,81.0,67.32659441979746,67.32659441979749,-52414.64776228802,-52414.64776228802,-52414.64776228802,-10511.335348912979,-10511.335348912979,0.0,0.0
751818.842706267;	0.0,82.0,58.073519802726,58.073519802726935,-52356.574242485294,-52356.574242485294,-52356.574242485294,-10505.941407732309,-10505.941407732309,0.0,0.0
751862.1606289571;	0.0,83.0,56.831016527242205,56.831016527242205,-52299.743225958046,-52299.743225958046,-52299.743225958046,-10501.793109337976,-10501.793109337976,0.0,0.0
751869.378185902;	0.0,84.0,15.07967669513748,15.07967669513748,-52284.6635492629,-52284.6635492629,-52284.6635492629,-10500.02364247679,-10500.02364247679,0.0,0.0
751881.45922304;	0.0,85.0,69.34221282111025,69.34221282110934,-52215.32133644179,-52215.32133644179,-52215.32133644179,-10484.52899382344,-10484.52899382344,0.0,0.0
751918.460104148;	0.0,86.0,56.400156113591834,56.400156113591834,-52158.921180328194,-52158.921180328194,-52158.921180328194,-10470.587336649696,-10470.587336649696,0.0,0.0
751926.430637022;	0.0,87.0,28.567121215403432,28.567121215403432,-52130.35405911278,-52130.35405911278,-52130.35405911278,-10467.733022226625,-10467.733022226625,0.0,0.0
751935.437304588;	0.0,88.0,2.017694951144014,2.017694951142195,-52128.33636416163,-52128.33636416163,-52128.33636416163,-10467.127108893417,-10467.127108893417,0.0,0.0
751970.402667775;	0.0,89.0,11.972820187102897,11.972820187102897,-52116.363543974534,-52116.363543974534,-52116.363543974534,-10464.631605962508,-10464.631605962508,0.0,0.0
751983.050796275;	0.0,90.0,3.848036598281084,3.848036598281084,-52112.51550737625,-52112.51550737625,-52112.51550737625,-10467.192224373663,-10467.192224373663,0.0,0.0
751989.211390858;	0.0,91.0,36.33000651607563,36.33000651607563,-52076.18550086016,-52076.18550086016,-52076.18550086016,-10460.68395231954,-10460.68395231954,0.0,0.0
752002.032733391;	0.0,92.0,215.58323746191394,215.58323746191394,-51860.602263398265,-51860.602263398265,-51860.602263398265,-10413.915731883399,-10413.915731883399,0.0,0.0
752002.3089541281;	0.0,93.0,116.23786526696189,116.23786526696189,-51744.364398131314,-51744.364398131314,-51744.364398131314,-10394.077488946366,-10394.077488946366,0.0,0.0
752006.5514554121;	0.0,94.0,15.405710614293525,15.405710614293525,-51728.958687517006,-51728.958687517006,-51728.958687517006,-10391.073181004806,-10391.073181004806,0.0,0.0
752021.294324971;	0.0,95.0,6.149013249810673,6.149013249810673,-51722.809674267206,-51722.809674267206,-51722.809674267206,-10391.193100240203,-10391.193100240203,0.0,0.0
752021.6221755741;	0.0,96.0,12.005369768010155,12.005369768010155,-51710.804304499194,-51710.804304499194,-51710.804304499194,-10388.510520587404,-10388.510520587404,0.0,0.0
752032.0298373981;	0.0,97.0,6.255901485985525,6.255901485985525,-51704.54840301321,-51704.54840301321,-51704.54840301321,-10384.37329112323,-10384.37329112323,0.0,0.0
752032.8586288501;	0.0,98.0,2.587272862066456,2.587272862066456,-51701.96113015115,-51701.96113015115,-51701.96113015115,-10384.456085752714,-10384.456085752714,0.0,0.0
752042.130434636;	0.0,99.0,4.488059654086896,4.488059654086896,-51697.47307049704,-51697.47307049704,-51697.47307049704,-10384.004627751803,-10384.004627751803,0.0,0.0
752053.2721706651;	0.0,100.0,53.15030409654446,53.150304096544346,-51644.3227664005,-51644.3227664005,-51644.3227664005,-10362.908858740395,-10362.908858740395,0.0,0.0
