752279.465558271;	cycle,it,executionDll, simulationDll, executionTrainLl, simulationTrainLl,realTrainLl, executionValidLl, realValidLl, executionTestLl, realTestLl
752279.466042835;	0.0,0.0,0.0,0.0,-420816.6905661064,-420816.6905661064,-420816.6905661064,-83933.88761088083,-83933.88761088083,0.0,0.0
752343.040999977;	0.0,1.0,667.4679012356337,667.4679012356337,-420149.2226648707,-420149.2226648707,-420149.2226648707,-83791.29258951635,-83791.29258951635,0.0,0.0
752344.12363285;	0.0,2.0,626.2533563501747,626.2533563501747,-419522.9693085206,-419522.9693085206,-419522.9693085206,-83671.3621633294,-83671.3621633294,0.0,0.0
752345.4094631;	0.0,3.0,3764.4981414486256,3764.4981414486256,-415758.47116707196,-415758.47116707196,-415758.47116707196,-82979.07759552416,-82979.07759552416,0.0,0.0
752356.9166701911;	0.0,4.0,455.13752571205987,455.13752571205964,-415303.33364135993,-415303.33364135993,-415303.33364135993,-82901.03289264305,-82901.03289264305,0.0,0.0
752367.6598731681;	0.0,5.0,2830.512028479198,2830.512028479198,-412472.82161288074,-412472.82161288074,-412472.82161288074,-82371.42372753473,-82371.42372753473,0.0,0.0
752412.3701717431;	0.0,6.0,420.66274977886223,420.66274977886223,-412052.15886310185,-412052.15886310185,-412052.15886310185,-82299.95216743874,-82299.95216743874,0.0,0.0
752450.635871941;	0.0,7.0,420.66283580036134,420.6628358003611,-411631.49602730153,-411631.49602730153,-411631.49602730153,-82228.48059014438,-82228.48059014438,0.0,0.0
752495.2546193261;	0.0,8.0,414.97613685211763,414.97613685211775,-411216.51989044936,-411216.51989044936,-411216.51989044936,-82158.12553290994,-82158.12553290994,0.0,0.0
752549.682405793;	0.0,9.0,1738.2075969083571,1738.2075969083571,-409478.312293541,-409478.312293541,-409478.312293541,-81811.09024517164,-81811.09024517164,0.0,0.0
752560.5902630191;	0.0,10.0,421.42169420763275,421.42169420763184,-409056.89059933345,-409056.89059933345,-409056.89059933345,-81727.22594403665,-81727.22594403665,0.0,0.0
752562.706775177;	0.0,11.0,195.26762820521435,195.26762820521435,-408861.62297112826,-408861.62297112826,-408861.62297112826,-81691.73865320621,-81691.73865320621,0.0,0.0
752566.4645580071;	0.0,12.0,1029.278513469846,1029.278513469847,-407832.34445765824,-407832.34445765824,-407832.34445765824,-81482.46715813852,-81482.46715813852,0.0,0.0
752571.431423002;	0.0,13.0,124.17773392387016,124.17773392387005,-407708.16672373435,-407708.16672373435,-407708.16672373435,-81460.09691033109,-81460.09691033109,0.0,0.0
752637.9474770761;	0.0,14.0,121.48724311977139,121.48724311977116,-407586.6794806146,-407586.6794806146,-407586.6794806146,-81438.51688368569,-81438.51688368569,0.0,0.0
752721.348862029;	0.0,15.0,333.11866468988046,333.11866468988046,-407253.56081592484,-407253.56081592484,-407253.56081592484,-81372.54874136497,-81372.54874136497,0.0,0.0
752723.637291111;	0.0,16.0,45.65975122031182,45.65975122031182,-407207.90106470446,-407207.90106470446,-407207.90106470446,-81358.23945443935,-81358.23945443935,0.0,0.0
752727.083381569;	0.0,17.0,580.5440639271163,580.5440639271163,-406627.3570007774,-406627.3570007774,-406627.3570007774,-81254.43786119677,-81254.43786119677,0.0,0.0
752789.3932968901;	0.0,18.0,428.965337355717,428.965337355717,-406198.39166342164,-406198.39166342164,-406198.39166342164,-81180.45472092868,-81180.45472092868,0.0,0.0
752827.676179526;	0.0,19.0,328.16100363837813,328.16100363837813,-405870.23065978324,-405870.23065978324,-405870.23065978324,-81116.66061576219,-81116.66061576219,0.0,0.0
752830.301474247;	0.0,20.0,6794.366049994844,6794.366049994844,-399075.8646097884,-399075.8646097884,-399075.8646097884,-79752.2013715286,-79752.2013715286,0.0,0.0
752867.668357759;	0.0,21.0,5530.325835867371,5530.325835867371,-393545.5387739211,-393545.5387739211,-393545.5387739211,-78632.46169456917,-78632.46169456917,0.0,0.0
