752084.156822968;	cycle,it,executionDll, simulationDll, executionTrainLl, simulationTrainLl,realTrainLl, executionValidLl, realValidLl, executionTestLl, realTestLl
752084.156963575;	0.0,0.0,0.0,0.0,-12118.42347257748,-12118.42347257748,-12118.42347257748,-2418.6480510032998,-2418.6480510032998,0.0,0.0
752084.654319238;	0.0,1.0,54.627956042080314,54.627956042080314,-12063.795516535401,-12063.795516535401,-12063.795516535401,-2409.5487102626694,-2409.5487102626694,0.0,0.0
752084.763857792;	0.0,2.0,17.84118374981074,17.84118374981074,-12045.95433278559,-12045.95433278559,-12045.95433278559,-2406.6360054347347,-2406.6360054347347,0.0,0.0
752084.865077678;	0.0,3.0,89.26927467185203,89.26927467185192,-11956.685058113737,-11956.685058113737,-11956.685058113737,-2396.958463149139,-2396.958463149139,0.0,0.0
752085.1503561761;	0.0,4.0,73.50222797747062,73.50222797747051,-11883.182830136266,-11883.182830136266,-11883.182830136266,-2384.291578662452,-2384.291578662452,0.0,0.0
752085.394154567;	0.0,5.0,7.401509364921068,7.401509364921068,-11875.781320771344,-11875.781320771344,-11875.781320771344,-2382.012024374114,-2382.012024374114,0.0,0.0
752085.437658131;	0.0,6.0,4.11447081479227,4.11447081479227,-11871.666849956553,-11871.666849956553,-11871.666849956553,-2381.131846213059,-2381.131846213059,0.0,0.0
752085.483573929;	0.0,7.0,31.188591285806638,31.18859128580658,-11840.478258670746,-11840.478258670746,-11840.478258670746,-2374.608308250045,-2374.608308250045,0.0,0.0
752085.7075798281;	0.0,8.0,44.44295071044036,44.44295071044036,-11796.035307960305,-11796.035307960305,-11796.035307960305,-2363.9961861139864,-2363.9961861139864,0.0,0.0
752086.288549321;	0.0,9.0,63.52493575751748,63.52493575751748,-11732.510372202785,-11732.510372202785,-11732.510372202785,-2353.92072586185,-2353.92072586185,0.0,0.0
752086.577663986;	0.0,10.0,47.97042070801735,47.97042070801735,-11684.539951494764,-11684.539951494764,-11684.539951494764,-2347.6378525491796,-2347.6378525491796,0.0,0.0
752086.916847291;	0.0,11.0,22.907824137205235,22.907824137205235,-11661.632127357561,-11661.632127357561,-11661.632127357561,-2343.668918768932,-2343.668918768932,0.0,0.0
752087.1818767351;	0.0,12.0,43.32229347914131,43.32229347914125,-11618.309833878418,-11618.309833878418,-11618.309833878418,-2339.5560106138623,-2339.5560106138623,0.0,0.0
752087.457014256;	0.0,13.0,63.56535480586797,63.56535480586797,-11554.744479072551,-11554.744479072551,-11554.744479072551,-2322.0407290449516,-2322.0407290449516,0.0,0.0
752087.816953558;	0.0,14.0,23.140491570907727,23.140491570907727,-11531.603987501643,-11531.603987501643,-11531.603987501643,-2315.4910433473915,-2315.4910433473915,0.0,0.0
752087.915356621;	0.0,15.0,5.759243546472587,5.759243546472587,-11525.844743955171,-11525.844743955171,-11525.844743955171,-2313.841747247543,-2313.841747247543,0.0,0.0
752088.178250117;	0.0,16.0,23.942332040217394,23.942332040217394,-11501.902411914954,-11501.902411914954,-11501.902411914954,-2307.3855777465296,-2307.3855777465296,0.0,0.0
752088.285877725;	0.0,17.0,79.16427549498258,79.16427549498246,-11422.738136419972,-11422.738136419972,-11422.738136419972,-2293.5474930056066,-2293.5474930056066,0.0,0.0
752088.645905946;	0.0,18.0,27.319425926388192,27.319425926388192,-11395.418710493583,-11395.418710493583,-11395.418710493583,-2288.815411049712,-2288.815411049712,0.0,0.0
752088.7539590211;	0.0,19.0,14.91416577280414,14.91416577280414,-11380.504544720778,-11380.504544720778,-11380.504544720778,-2285.0485644698447,-2285.0485644698447,0.0,0.0
