Cycle;It;Time;TotalTime;Size;Operation;TrainLL;ValidLL;TestLL
0;0;0.001902683;0.001902683;107.0;null;-12.94703362454859;-12.93394679680909;NaN
0;1;0.510378432;0.512281115;113.0;Split(113,67,28,[C(3),C(-3)],MaxDepth(3));-12.888670423648934;-12.885287220655986;NaN
0;2;0.10959864400000001;0.6218797589999999;116.0;Split(127,5,106,[C(15),C(-15)],MaxDepth(3));-12.869609329899134;-12.869711259009277;NaN
0;3;0.10115560900000001;0.7230353679999999;139.0;Split(140,7,136,[C(12),C(-12)],MaxDepth(3));-12.774236173198437;-12.8179596959847;NaN
0;4;0.28520599;1.0082413579999998;159.0;Split(139,25,134,[C(1),C(-1)],MaxDepth(3));-12.695708151854985;-12.750222345788513;NaN
0;5;0.24375336900000003;1.2519947269999998;161.0;Clone(15,34,[{189:18}],MaxDepth(3));-12.687800556379642;-12.738032215904353;NaN
0;6;0.043458869000000004;1.2954535959999998;163.0;Clone(18,32,[{189:18}],MaxDepth(3));-12.683404754227087;-12.733325380818497;NaN
0;7;0.045837248000000004;1.3412908439999998;183.0;Split(138,43,132,[C(28),C(-28)],MaxDepth(3));-12.650083609690968;-12.698440151069759;NaN
0;8;0.22395768700000002;1.5652485309999997;209.0;Split(143,35,142,[C(30),C(-30)],MaxDepth(3));-12.602601824743916;-12.641690834834153;NaN
0;9;0.580917322;2.146165853;214.0;Clone(114,63,[{255:114}],MaxDepth(3));-12.534733303635454;-12.587811368245186;NaN
0;10;0.289039726;2.435205579;222.0;Clone(235,49,[{259:237}],MaxDepth(3));-12.483482854161073;-12.554213115236255;NaN
0;11;0.339131308;2.7743368869999996;227.0;Clone(116,55,[{257:116}],MaxDepth(3));-12.459008683074318;-12.532988870422097;NaN
0;12;0.26498523300000004;3.0393221199999996;259.0;Split(255,65,296,[C(29),C(-29)],MaxDepth(3));-12.412724181494037;-12.51099470916504;NaN
0;13;0.275088964;3.3144110839999996;280.0;Split(291,53,285,[C(28),C(-28)],MaxDepth(3));-12.344812477641614;-12.41733010184466;NaN
0;14;0.359888354;3.674299438;282.0;Clone(302,56,[{340:303}],MaxDepth(3));-12.320089730236798;-12.382305044638457;NaN
0;15;0.09836336700000001;3.772662805;309.0;Split(290,53,284,[C(26),C(-26)],MaxDepth(3));-12.313936692259798;-12.373485279398626;NaN
0;16;0.26282719400000004;4.035489999;314.0;Clone(314,69,[{330:316}],MaxDepth(3));-12.288357277686917;-12.338960308804971;NaN
0;17;0.10754742;4.1430374190000006;334.0;Split(291,53,360,[C(31),C(-31)],MaxDepth(3));-12.203780060277747;-12.264959855644955;NaN
0;18;0.359977653;4.503015072;336.0;Clone(361,56,[{422:303}],MaxDepth(3));-12.17459263941622;-12.239654604543915;NaN
0;19;0.10799051700000001;4.611005589;338.0;Clone(37,60,[{420:40}],MaxDepth(3));-12.158658701624763;-12.219511039945694;NaN
0;20;0.146207841;4.75721343;343.0;Clone(408,69,[{412:316}],MaxDepth(3));-12.122227454724383;-12.196558609986658;NaN
0;21;0.10490550400000001;4.862118934000001;365.0;Split(291,53,441,[C(26),C(-26)],MaxDepth(3));-12.11684109262209;-12.189639466734294;NaN
0;22;0.35121497900000004;5.2133339130000005;414.0;Split(440,61,434,[C(27),C(-27)],MaxDepth(3));-12.032644980843873;-12.095184589387271;NaN
0;23;0.306336457;5.51967037;416.0;Clone(446,68,[{483:446}],MaxDepth(3));-11.983100714135764;-12.046263661618356;NaN
0;24;0.025069958000000003;5.544740328;418.0;Clone(312,68,[{487:312}],MaxDepth(3));-11.971481613182004;-12.038219921098172;NaN
0;25;0.030163578000000003;5.574903905999999;420.0;Clone(40,58,[{459:40}],MaxDepth(3));-11.964851558393836;-12.039019972191907;NaN
0;26;0.10614601000000001;5.681049915999999;425.0;Split(430,37,233,[C(19),C(-19)],MaxDepth(3));-11.961616145242917;-12.037480170122096;NaN
0;27;0.12346794400000001;5.804517859999999;456.0;Split(440,61,529,[C(33),C(-33)],MaxDepth(3));-11.935073661811883;-12.01348485108645;NaN
0;28;0.29888870500000003;6.103406564999999;458.0;Clone(530,68,[{538:530}],MaxDepth(3));-11.9194962545135;-11.991969945839857;NaN
0;29;0.031452971;6.134859536;503.0;Split(291,53,442,[C(26),C(-26)],MaxDepth(3));-11.887573513469459;-11.936311628875156;NaN
0;30;0.410949265;6.545808801;508.0;Clone(538,69,[{589:540}],MaxDepth(3));-11.860521502720959;-11.898893345353008;NaN
0;31;0.12077153800000001;6.666580338999999;510.0;Clone(223,46,[{626:586}],MaxDepth(3));-11.857043126565632;-11.907367490824205;NaN
0;32;0.140057742;6.806638080999999;512.0;Clone(227,42,[{467:229,628:229}],MaxDepth(3));-11.854162445754557;-11.910358384086022;NaN
0;33;0.16791895;6.974557030999999;514.0;Clone(531,68,[{542:531}],MaxDepth(3));-11.852020904313404;-11.909315749463847;NaN
0;34;0.026790744000000002;7.001347774999999;516.0;Clone(223,46,[{465:449}],MaxDepth(3));-11.850412051371155;-11.90934950510103;NaN
0;35;0.12057113200000001;7.1219189069999995;518.0;Clone(197,24,[{251:247}],MaxDepth(3));-11.848884527600767;-11.906496786098524;NaN
0;36;0.061054716;7.182973623;523.0;Split(331,63,324,[C(24),C(-24)],MaxDepth(3));-11.848145035689434;-11.908730578430822;NaN
0;37;0.12874222700000001;7.31171585;601.0;Split(143,35,293,[C(11),C(-11)],MaxDepth(3));-11.814635888209121;-11.913960145123752;NaN
