751068.508356841;	cycle,it,executionDll, simulationDll, executionTrainLl, simulationTrainLl,realTrainLl, executionValidLl, realValidLl, executionTestLl, realTestLl
751088.6815025881;	0.0,37.0,274.64558564554653,274.6455856455465,-43411.518756207784,-43411.518756207784,-43411.518756207784,-8871.055251863703,-8871.055251863703,0.0,0.0
751089.4581480521;	0.0,38.0,423.13204477274905,423.13204477274905,-42988.38671143504,-42988.38671143504,-42988.38671143504,-8789.461329786309,-8789.461329786309,0.0,0.0
751090.2841342781;	0.0,39.0,78.77203378071806,78.77203378071806,-42909.614677654325,-42909.614677654325,-42909.614677654325,-8775.43568326455,-8775.43568326455,0.0,0.0
751091.7271540291;	0.0,40.0,104.93276594092345,104.93276594092345,-42804.68191171339,-42804.68191171339,-42804.68191171339,-8753.486353777942,-8753.486353777942,0.0,0.0
751093.27624587;	0.0,41.0,180.78645934139115,180.78645934139115,-42623.89545237202,-42623.89545237202,-42623.89545237202,-8721.288231747,-8721.288231747,0.0,0.0
751093.4353230221;	0.0,42.0,356.45519742632206,356.45519742632206,-42267.44025494568,-42267.44025494568,-42267.44025494568,-8659.844774839657,-8659.844774839657,0.0,0.0
751094.376529401;	0.0,43.0,117.27302484526297,117.27302484526297,-42150.16723010044,-42150.16723010044,-42150.16723010044,-8637.83793825513,-8637.83793825513,0.0,0.0
751095.134344151;	0.0,44.0,304.2162543351528,304.2162543351526,-41845.95097576528,-41845.95097576528,-41845.95097576528,-8576.34814454685,-8576.34814454685,0.0,0.0
751097.927002209;	0.0,45.0,550.488816525359,550.488816525359,-41295.46215923993,-41295.46215923993,-41295.46215923993,-8475.678462312371,-8475.678462312371,0.0,0.0
751099.0638857591;	0.0,46.0,51.399537331795614,51.399537331795614,-41244.06262190812,-41244.06262190812,-41244.06262190812,-8469.174972078079,-8469.174972078079,0.0,0.0
751101.823548377;	0.0,47.0,47.258396643727565,47.258396643727565,-41196.80422526439,-41196.80422526439,-41196.80422526439,-8457.435712554518,-8457.435712554518,0.0,0.0
751101.9675826251;	0.0,48.0,248.5575152006993,248.5575152006993,-40948.246710063686,-40948.246710063686,-40948.246710063686,-8400.352901739558,-8400.352901739558,0.0,0.0
751103.3106848081;	0.0,49.0,64.99130412527938,64.99130412527938,-40883.255405938406,-40883.255405938406,-40883.255405938406,-8385.190295998189,-8385.190295998189,0.0,0.0
751106.596460444;	0.0,50.0,27.557999507482748,27.557999507482748,-40855.697406430925,-40855.697406430925,-40855.697406430925,-8380.139742705122,-8380.139742705122,0.0,0.0
751110.40836546;	0.0,51.0,154.45659199049737,154.45659199049737,-40701.24081444043,-40701.24081444043,-40701.24081444043,-8346.777241246535,-8346.777241246535,0.0,0.0
751111.724771313;	0.0,52.0,34.00072902253535,34.00072902253535,-40667.24008541789,-40667.24008541789,-40667.24008541789,-8334.00586180323,-8334.00586180323,0.0,0.0
751111.786567721;	0.0,53.0,62.90588665285486,62.90588665285486,-40604.334198765035,-40604.334198765035,-40604.334198765035,-8321.248807839998,-8321.248807839998,0.0,0.0
751116.156222314;	0.0,54.0,46.859914408559575,46.859914408559575,-40557.474284356475,-40557.474284356475,-40557.474284356475,-8313.242886087624,-8313.242886087624,0.0,0.0
751121.285037435;	0.0,55.0,141.05997787231098,141.05997787231098,-40416.41430648416,-40416.41430648416,-40416.41430648416,-8288.953935567124,-8288.953935567124,0.0,0.0
751124.352588244;	0.0,56.0,70.53597383424966,70.53597383424966,-40345.8783326499,-40345.8783326499,-40345.8783326499,-8276.900570036383,-8276.900570036383,0.0,0.0
751124.638854453;	0.0,57.0,40.793764622392246,40.793764622392246,-40305.084568027516,-40305.084568027516,-40305.084568027516,-8271.445080592666,-8271.445080592666,0.0,0.0
751124.674731084;	0.0,58.0,291.92749748093036,291.92749748093,-40013.15707054658,-40013.15707054658,-40013.15707054658,-8215.61160011311,-8215.61160011311,0.0,0.0
751128.087233962;	0.0,59.0,229.66841418441797,229.66841418441751,-39783.48865636217,-39783.48865636217,-39783.48865636217,-8170.708489814614,-8170.708489814614,0.0,0.0
751131.8697639001;	0.0,60.0,433.10206615225854,433.1020661522585,-39350.386590209906,-39350.386590209906,-39350.386590209906,-8094.805701026038,-8094.805701026038,0.0,0.0
751133.7891195441;	0.0,61.0,299.5233262593156,299.52332625931564,-39050.86326395059,-39050.86326395059,-39050.86326395059,-8034.724705372688,-8034.724705372688,0.0,0.0
751135.010274151;	0.0,62.0,299.75210513352664,299.75210513352664,-38751.11115881706,-38751.11115881706,-38751.11115881706,-7981.986149030929,-7981.986149030929,0.0,0.0
751137.557214397;	0.0,63.0,148.74003743384236,148.74003743384236,-38602.37112138322,-38602.37112138322,-38602.37112138322,-7961.963227828139,-7961.963227828139,0.0,0.0
751139.304929823;	0.0,64.0,312.0118487643105,312.01184876431057,-38290.35927261891,-38290.35927261891,-38290.35927261891,-7900.269920768069,-7900.269920768069,0.0,0.0
751139.4153620361;	0.0,65.0,202.02332940011382,202.02332940011382,-38088.33594321879,-38088.33594321879,-38088.33594321879,-7856.873320135841,-7856.873320135841,0.0,0.0
751139.565535314;	0.0,66.0,24.80815499304748,24.80815499304748,-38063.52778822574,-38063.52778822574,-38063.52778822574,-7849.705235601417,-7849.705235601417,0.0,0.0
751139.6100154311;	0.0,67.0,265.9204741862972,265.9204741862972,-37797.607314039444,-37797.607314039444,-37797.607314039444,-7802.027091471638,-7802.027091471638,0.0,0.0
751141.1293983511;	0.0,68.0,53.35992598506587,53.35992598506587,-37744.247388054384,-37744.247388054384,-37744.247388054384,-7788.741924064904,-7788.741924064904,0.0,0.0
751141.189959715;	0.0,69.0,64.92271823839553,64.92271823839553,-37679.324669816,-37679.324669816,-37679.324669816,-7779.170314035125,-7779.170314035125,0.0,0.0
751143.0459743481;	0.0,70.0,87.49503212474531,87.49503212474531,-37591.82963769126,-37591.82963769126,-37591.82963769126,-7757.4204166552445,-7757.4204166552445,0.0,0.0
751144.150333495;	0.0,71.0,52.88841012070583,52.88841012070537,-37538.94122757056,-37538.94122757056,-37538.94122757056,-7746.969368480839,-7746.969368480839,0.0,0.0
751146.368078117;	0.0,72.0,106.0939209972147,106.0939209972147,-37432.84730657335,-37432.84730657335,-37432.84730657335,-7729.933104481373,-7729.933104481373,0.0,0.0
751146.9949242971;	0.0,73.0,90.40220965838421,90.40220965838421,-37342.44509691497,-37342.44509691497,-37342.44509691497,-7716.810542626534,-7716.810542626534,0.0,0.0
751147.4231747361;	0.0,74.0,54.12225631021038,54.12225631021038,-37288.32284060476,-37288.32284060476,-37288.32284060476,-7706.652004087988,-7706.652004087988,0.0,0.0
751147.7526113461;	0.0,75.0,20.780476546649254,20.780476546649254,-37267.54236405811,-37267.54236405811,-37267.54236405811,-7702.112315193441,-7702.112315193441,0.0,0.0
751149.1750429771;	0.0,76.0,205.2512940206152,205.25129402061532,-37062.291070037485,-37062.291070037485,-37062.291070037485,-7658.079085715872,-7658.079085715872,0.0,0.0
751149.45731839;	0.0,77.0,480.2796648095183,480.27966480951807,-36582.011405227975,-36582.011405227975,-36582.011405227975,-7567.635101593625,-7567.635101593625,0.0,0.0
751152.735208195;	0.0,78.0,29.154149837699606,29.154149837699606,-36552.85725539028,-36552.85725539028,-36552.85725539028,-7559.946875926342,-7559.946875926342,0.0,0.0
751152.777314992;	0.0,79.0,49.840578155224364,49.84057815522442,-36503.01667723506,-36503.01667723506,-36503.01667723506,-7549.621665524826,-7549.621665524826,0.0,0.0
751154.634551359;	0.0,80.0,83.73481431344459,83.73481431344459,-36419.28186292161,-36419.28186292161,-36419.28186292161,-7527.013816273169,-7527.013816273169,0.0,0.0
751155.1014532071;	0.0,81.0,232.56159177715267,232.56159177715261,-36186.720271144455,-36186.720271144455,-36186.720271144455,-7485.383760050987,-7485.383760050987,0.0,0.0
751157.1502466111;	0.0,82.0,118.54873986345356,118.54873986345356,-36068.171531281005,-36068.171531281005,-36068.171531281005,-7443.109302620896,-7443.109302620896,0.0,0.0
751157.781678051;	0.0,83.0,68.9000859076836,68.9000859076836,-35999.27144537332,-35999.27144537332,-35999.27144537332,-7423.296344900071,-7423.296344900071,0.0,0.0
751158.2157018201;	0.0,84.0,26.509485467216223,26.509485467216223,-35972.76195990611,-35972.76195990611,-35972.76195990611,-7420.85864976749,-7420.85864976749,0.0,0.0
751158.3084016871;	0.0,85.0,367.73218096756716,367.73218096756705,-35605.029778938566,-35605.029778938566,-35605.029778938566,-7351.569482525445,-7351.569482525445,0.0,0.0
751163.292454238;	0.0,86.0,89.22113395970217,89.22113395970217,-35515.80864497884,-35515.80864497884,-35515.80864497884,-7333.048811181947,-7333.048811181947,0.0,0.0
751167.7743031441;	0.0,87.0,43.93446191312523,43.93446191312523,-35471.874183065716,-35471.874183065716,-35471.874183065716,-7329.345302154975,-7329.345302154975,0.0,0.0
751168.0118357871;	0.0,88.0,97.92905493828835,97.92905493828835,-35373.94512812742,-35373.94512812742,-35373.94512812742,-7313.409144816637,-7313.409144816637,0.0,0.0
751172.578098936;	0.0,89.0,68.38749321457436,68.38749321457436,-35305.55763491285,-35305.55763491285,-35305.55763491285,-7300.281135352066,-7300.281135352066,0.0,0.0
751174.470912506;	0.0,90.0,37.922385894685476,37.922385894685476,-35267.63524901817,-35267.63524901817,-35267.63524901817,-7290.702818484446,-7290.702818484446,0.0,0.0
751180.090106625;	0.0,91.0,245.9946217043679,245.9946217043679,-35021.6406273138,-35021.6406273138,-35021.6406273138,-7241.553970662231,-7241.553970662231,0.0,0.0
751187.3149722461;	0.0,92.0,166.52396297565986,166.52396297565986,-34855.11666433815,-34855.11666433815,-34855.11666433815,-7204.566077158861,-7204.566077158861,0.0,0.0
751189.8454897461;	0.0,93.0,296.8076294557914,296.8076294557914,-34558.30903488236,-34558.30903488236,-34558.30903488236,-7135.252156691426,-7135.252156691426,0.0,0.0
751192.1212113011;	0.0,94.0,105.99287198874256,105.99287198874256,-34452.316162893614,-34452.316162893614,-34452.316162893614,-7122.021631401321,-7122.021631401321,0.0,0.0
751194.1786430681;	0.0,95.0,58.50617132273419,58.50617132273419,-34393.80999157088,-34393.80999157088,-34393.80999157088,-7106.680917017515,-7106.680917017515,0.0,0.0
751201.914645386;	0.0,96.0,20.6153499577905,20.6153499577905,-34373.19464161309,-34373.19464161309,-34373.19464161309,-7102.338409217773,-7102.338409217773,0.0,0.0
751211.1347373121;	0.0,97.0,47.849605990905275,47.849605990905275,-34325.34503562219,-34325.34503562219,-34325.34503562219,-7091.335568546663,-7091.335568546663,0.0,0.0
751221.984706031;	0.0,98.0,35.405192227004136,35.405192227004136,-34289.93984339517,-34289.93984339517,-34289.93984339517,-7084.342905258827,-7084.342905258827,0.0,0.0
751234.6090982561;	0.0,99.0,31.933091053150733,31.933091053150733,-34258.006752342015,-34258.006752342015,-34258.006752342015,-7078.750218826655,-7078.750218826655,0.0,0.0
751235.117939136;	0.0,100.0,39.89885542289005,39.89885542289005,-34218.10789691912,-34218.10789691912,-34218.10789691912,-7067.844910731992,-7067.844910731992,0.0,0.0
