Cycle;It;Time;TotalTime;Size;Operation;TrainLL;ValidLL;TestLL
0;39;0.8259144810000001;21.793756220999995;714.0;Split(287,71,683,[C(36),C(-36)],MaxDepth(3));-14.679991336864292;-15.026430964494093;NaN
0;40;1.442978016;23.236734236999997;742.0;Split(287,71,867,[C(57),C(-57)],MaxDepth(3));-14.644092340647756;-14.988846496195107;NaN
0;41;1.549032473;24.785766709999997;750.0;Split(820,93,819,[C(20),C(-20)],MaxDepth(3));-14.582242713777632;-14.933712725594177;NaN
0;42;0.159016091;24.944782801;764.0;Clone(427,101,[{880:533,762:820,624:429}],MaxDepth(3));-14.460294305489455;-14.828501326780236;NaN
0;43;0.9411588830000001;25.885941684;803.0;Split(885,61,523,[C(35),C(-35)],MaxDepth(3));-14.420173530653587;-14.790818387423169;NaN
0;44;0.757762048;26.643703732;828.0;Split(287,71,784,[C(43),C(-43)],MaxDepth(3));-14.31609681004628;-14.685527644772003;NaN
0;45;2.792618595;29.436322327;842.0;Clone(813,83,[{972:264}],MaxDepth(3));-14.127766732548727;-14.513148051904745;NaN
0;46;1.136813749;30.573136076;861.0;Split(287,71,991,[C(56),C(-56)],MaxDepth(3));-14.11018221755324;-14.502011938489861;NaN
0;47;2.75960465;33.332740726;867.0;Clone(802,41,[{755:804}],MaxDepth(3));-14.094014445865342;-14.48191046670294;NaN
0;48;0.143985905;33.476726631;878.0;Clone(258,129,[{757:258,1005:258}],MaxDepth(3));-14.00897937395268;-14.384165927636229;NaN
0;49;1.343043557;34.819770188;901.0;Split(287,71,1031,[C(46),C(-46)],MaxDepth(3));-13.986744921634761;-14.358202561640734;NaN
0;50;3.28572941;38.105499598;922.0;Split(287,71,1077,[C(58),C(-58)],MaxDepth(3));-13.977316936856287;-14.349554353947125;NaN
0;51;3.8118606510000004;41.917360249000005;969.0;Split(1091,79,264,[C(30),C(-30)],MaxDepth(3));-13.924475133233129;-14.292426782956396;NaN
0;52;1.3163517200000001;43.233711969000005;971.0;Clone(45,16,[{960:958}],MaxDepth(3));-13.91284299877451;-14.27055798253978;NaN
0;53;0.061735455;43.295447424;997.0;Split(287,71,1111,[C(57),C(-57)],MaxDepth(3));-13.891321997524814;-14.248713712054792;NaN
0;54;4.36959501;47.665042434;1020.0;Split(287,71,1180,[C(36),C(-36)],MaxDepth(3));-13.87529055229438;-14.235004941930864;NaN
0;55;5.128762463;52.793804897;1067.0;Split(1212,107,1206,[C(12),C(-12)],MaxDepth(3));-13.827031921479358;-14.193414273231376;NaN
0;56;3.0674957050000002;55.861300602;1072.0;Clone(749,117,[{750:749,1231:749}],MaxDepth(3));-13.802900558552823;-14.172774948692437;NaN
0;57;0.286219414;56.147520016;1077.0;Split(381,15,380,[C(43),C(-43)],MaxDepth(3));-13.788944429704932;-14.163433357179223;NaN
0;58;0.035838001;56.183358017;1109.0;Split(287,71,907,[C(52),C(-52)],MaxDepth(3));-13.689071868130885;-14.067828082385462;NaN
0;59;3.4124395890000003;59.595797606000005;1149.0;Split(287,71,1310,[C(53),C(-53)],MaxDepth(3));-13.610499027150931;-13.990939194888037;NaN
0;60;3.7824842690000002;63.378281875000006;1169.0;Clone(366,21,[{888:366,1343:366}],MaxDepth(3));-13.462328631614747;-13.860968666140476;NaN
0;61;1.919311411;65.29759328600001;1182.0;Clone(730,129,[{876:730,1331:730}],MaxDepth(3));-13.35985742865227;-13.758090248925836;NaN
0;62;1.221113958;66.51870724400001;1223.0;Split(1359,107,1353,[C(34),C(-34)],MaxDepth(3));-13.257307957173131;-13.667784501765288;NaN
0;63;2.546870684;69.06557792800001;1252.0;Split(1359,107,1425,[C(20),C(-20)],MaxDepth(3));-13.206421868417113;-13.633498677787909;NaN
0;64;1.747624497;70.81320242500001;1260.0;Clone(720,139,[{1434:722,728:722}],MaxDepth(3));-13.099678163742357;-13.527859453369981;NaN
0;65;0.11040949600000001;70.92361192100002;1268.0;Clone(237,85,[{1454:238,263:238}],MaxDepth(3));-13.030563100656448;-13.453550205712057;NaN
0;66;0.15012054;71.07373246100002;1272.0;Split(1318,63,936,[C(6),C(-6)],MaxDepth(3));-13.022075876916094;-13.441276088358592;NaN
0;67;0.044427516;71.11815997700002;1309.0;Split(1345,7,1277,[C(58),C(-58)],MaxDepth(3));-12.931100689031627;-13.35963543060212;NaN
0;68;1.5193383010000001;72.63749827800002;1311.0;Clone(1267,16,[{1484:1269,381:1269}],MaxDepth(3));-12.912845497110634;-13.336886856275521;NaN
0;69;0.06050900000000001;72.69800727800002;1358.0;Split(287,71,1361,[C(54),C(-54)],MaxDepth(3));-12.890634509003078;-13.320497113073843;NaN
0;70;1.8559691880000002;74.55397646600002;1360.0;Clone(524,42,[{526:525,1516:1514}],MaxDepth(3));-12.86070121029465;-13.283254138108296;NaN
0;71;1.1042959730000002;75.65827243900003;1411.0;Split(287,71,1574,[C(33),C(-33)],MaxDepth(3));-12.842607330677579;-13.26535850767267;NaN
0;72;2.2176930510000004;77.87596549000003;1419.0;Clone(419,103,[{1447:421}],MaxDepth(3));-12.80631108675106;-13.236186822742077;NaN
0;73;0.6267919980000001;78.50275748800003;1431.0;Split(264,75,240,[C(67),C(-67)],MaxDepth(3));-12.775383201134098;-13.213716682579681;NaN
0;74;0.428208839;78.93096632700004;1436.0;Clone(230,117,[{1442:230,259:230}],MaxDepth(3));-12.756867205133341;-13.196321924808197;NaN
0;75;0.32939841200000003;79.26036473900004;1438.0;Clone(165,46,[{833:831,1184:1182}],MaxDepth(3));-12.749757907649027;-13.188548484920275;NaN
0;76;1.4223942170000001;80.68275895600004;1463.0;Split(750,119,1265,[C(23),C(-23)],MaxDepth(3));-12.679538511815766;-13.113149119376493;NaN
